dimension2_mean,dimension2_std,dimension10_mean,dimension10_std,param_value,param_name
0.0000,0.0000,2213.6663,739.7074,0.1000,divergence
0.0000,0.0000,1298.0570,317.4213,0.3579,divergence
0.0000,0.0000,104.8172,161.9809,0.6158,divergence
67.5223,59.6299,753.7586,275.9607,0.8737,divergence
265.6352,101.1967,621.1200,8.5163,1.1316,divergence
313.7016,88.1390,613.6662,15.1547,1.3895,divergence
286.5848,100.4748,612.5214,20.1394,1.6474,divergence
346.2035,65.1055,620.2742,12.9770,1.9053,divergence
329.6243,90.7119,608.5367,9.2692,2.1632,divergence
300.3027,93.3973,616.3323,11.0496,2.4211,divergence
251.7650,77.0290,598.9278,28.6232,2.6789,divergence
368.3763,124.4330,601.9841,40.1351,2.9368,divergence
371.1124,60.8642,613.3873,17.8240,3.1947,divergence
261.6166,106.4679,622.7829,8.6554,3.4526,divergence
331.9579,103.8330,601.6289,36.1975,3.7105,divergence
354.7892,83.9890,608.8650,14.7094,3.9684,divergence
313.1850,78.9894,607.9650,11.2475,4.2263,divergence
321.9338,78.7883,594.3610,36.7987,4.4842,divergence
311.3636,46.4313,614.4303,9.2410,4.7421,divergence
349.1664,114.3507,612.4797,22.5152,5.0000,divergence
