dimension2_mean,dimension2_std,dimension10_mean,dimension10_std,param_value,param_name
211.3019,68.3805,616.9154,18.5678,0.5000,learning_factor_1
222.4348,76.4091,622.2702,29.0418,1.0000,learning_factor_1
190.4530,101.2950,600.4412,22.0707,1.5000,learning_factor_1
192.6527,53.7323,616.5067,17.0482,2.0000,learning_factor_1
230.6022,70.2527,605.3837,22.9229,2.5000,learning_factor_1
222.7393,176.0831,618.1386,9.6041,3.0000,learning_factor_1
248.6578,97.5417,615.2854,15.1788,3.5000,learning_factor_1
229.2647,66.4402,607.7911,15.0676,4.0000,learning_factor_1
167.6882,62.8079,620.1889,7.9984,4.5000,learning_factor_1
251.8369,68.2617,636.1734,36.8578,5.0000,learning_factor_1
205.9648,71.2089,623.1557,17.2652,5.5000,learning_factor_1
235.3135,132.0947,610.3388,28.3679,6.0000,learning_factor_1
241.7837,70.8879,622.6122,23.0277,6.5000,learning_factor_1
192.4723,69.7445,617.0751,16.3433,7.0000,learning_factor_1
203.5687,70.1542,615.6602,10.1959,7.5000,learning_factor_1
223.0672,93.1219,624.4578,12.2360,8.0000,learning_factor_1
242.9477,122.9601,623.4384,5.3317,8.5000,learning_factor_1
249.4481,102.4649,622.7248,11.1931,9.0000,learning_factor_1
197.7239,47.6078,625.5326,19.5524,9.5000,learning_factor_1
178.2902,58.3812,626.7628,28.1504,10.0000,learning_factor_1
