dimension2_mean,dimension2_std,dimension10_mean,dimension10_std,param_value,param_name
262.7493,51.5857,636.3976,13.3505,10,population_size
272.5677,118.2520,621.3504,23.0032,20,population_size
350.3241,155.0024,626.2770,26.4686,30,population_size
235.0233,96.0255,625.7465,8.6060,40,population_size
177.7032,48.9815,602.9935,18.2846,50,population_size
195.9653,72.3675,602.0444,24.1743,60,population_size
141.9594,42.0971,623.7385,19.9396,70,population_size
140.8186,37.3619,603.5030,18.6382,80,population_size
181.1934,66.3682,601.0014,30.7671,90,population_size
185.7056,92.7865,605.6988,35.7815,100,population_size
172.2257,67.8074,607.6204,27.5711,110,population_size
206.6117,88.8341,605.4049,19.3212,120,population_size
167.0565,66.7140,598.7195,25.9952,130,population_size
168.6550,64.7360,610.9228,27.5831,140,population_size
124.8869,44.2981,597.6781,26.8913,150,population_size
152.7593,72.2944,590.9570,21.5573,160,population_size
133.3462,39.3509,596.9945,13.6426,170,population_size
141.1345,28.4630,605.1362,33.6679,180,population_size
109.4415,49.4398,598.8983,17.6784,190,population_size
138.8292,62.3395,595.7661,34.4155,200,population_size
