dimension2_mean,dimension2_std,dimension10_mean,dimension10_std,param_value,param_name
0.0000,0.0000,0.0000,0.0000,0.1000,delta_potential_length_parameter
0.0000,0.0000,39.0155,117.0465,0.6211,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,1.1421,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,1.6632,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,2.1842,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,2.7053,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,3.2263,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,3.7474,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,4.2684,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,4.7895,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,5.3105,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,5.8316,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,6.3526,delta_potential_length_parameter
0.0000,0.0000,25.8753,77.6260,6.8737,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,7.3947,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,7.9158,delta_potential_length_parameter
0.0000,0.0000,28.3011,84.9034,8.4368,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,8.9579,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,9.4789,delta_potential_length_parameter
0.0000,0.0000,0.0000,0.0000,10.0000,delta_potential_length_parameter
