dimension2_mean,dimension2_std,dimension10_mean,dimension10_std,param_value,param_name
32.7651,98.2952,2112.7491,1309.1871,10,population_size
0.0000,0.0000,137.6239,220.3074,20,population_size
0.0000,0.0000,0.0000,0.0000,30,population_size
0.0000,0.0000,42.3079,126.9238,40,population_size
0.0000,0.0000,0.0000,0.0000,50,population_size
0.0000,0.0000,0.0000,0.0000,60,population_size
0.0000,0.0000,0.0000,0.0000,70,population_size
0.0000,0.0000,0.0000,0.0000,80,population_size
0.0000,0.0000,0.0000,0.0000,90,population_size
0.0000,0.0000,0.0000,0.0000,100,population_size
0.0000,0.0000,0.0000,0.0000,110,population_size
0.0000,0.0000,0.0000,0.0000,120,population_size
0.0000,0.0000,0.0000,0.0000,130,population_size
0.0000,0.0000,0.0000,0.0000,140,population_size
0.0000,0.0000,0.0000,0.0000,150,population_size
0.0000,0.0000,0.0000,0.0000,160,population_size
0.0000,0.0000,0.0000,0.0000,170,population_size
0.0000,0.0000,0.0000,0.0000,180,population_size
0.0000,0.0000,0.0000,0.0000,190,population_size
0.0000,0.0000,0.0000,0.0000,200,population_size
